295720:99999,EMEL`JANOVO,RA,,,56.183,92.617,296
719446:99999,ISKUT RIVER       &,CN,,,56.733,-131.667,15
286150:99999,BAKALY,RA,,,55.183,53.8,126
484180:99999,BUA CHUM,TH,,,15.267,101.183,50
356710:99999,DZEZKAZGAN,RA,,,47.8,67.717,345
430190:99999,PUSAD,IN,,,19.917,77.583,334
981330:99999,CALAYAN ISLAND,PH,,,19.267,121.467,13
381110:99999,SEVCENKO,RA,,,43.583,51.083,-15
293760:99999,TASEYEVO          &,RA,,,57.217,94.917,147
945140:99999,MITCHELL,AU,,,-26.483,147.983,336
516420:99999,LUNTAI/BUGUR,CI,,,41.783,84.167,883
740900:99999,CYLDE AIRPORT     &,CN,,,70.45,-68.55,2
876960:99999,MAR DEL PLATA ANB,AG,,,-38.05,-57.55,4
93960:99999,BOGUS GERMAN,DD,,,0,0,0
953220:99999,RABBIT FLAT,AU,,,-20.183,130.017,339
343680:99999,GORNIY BALIKLEY,RS,,,49.55,45.083,43
999999:68701,BROCKTON STATION,AY,,,-80.017,-178.417,100.9
379840:99999,LERIK,RS,,,38.767,48.4,1115
343580:99999,BOGUS SOVIET,RS,,,0,0,0
442870:99999,BAIANHONGOR,MO,,,46.133,100.683,1879
715275:99999,LONG POINT (MAPS) &,CN,,,42.567,-80.05,175
729510:99999,TERRACE AIRPORT,CN,,,54.467,-128.583,217
264140:99999,KAZDANGA-IN-LATVIA,BY,,,56.733,21.733,95
265850:99999,BELYJ,RS,,,55.85,32.95,214
424710:99999,FATEHPUR,IN,,,25.933,80.833,113
726269:99999,PORT WELLER (MARS)&,CN,,,43.25,-79.2,80
306200:99999,SARMA,RA,,,53.1,106.817,464
355760:99999,KZYL-ZAR,RA,,,48.3,69.65,361
540680:99999,BOGUS CHINESE,CI,,,44.017,125.567,0
593530:99999,ALI SHAN,CI,,,23.517,120.8,2408
529410:99999,NAME UNKNOWN,CI,,,35.717,98.917,3962
860650:99999,PRATS-GIL,PY,,,-22.7,-61.5,220
228920:99999,VYBORG,RS,,,60.717,28.8,15
860380:99999,LA PATRIA,PY,,,-21.333,-61.5,0
530680:99999,ERENHOT,CI,,,43.65,112,966
920920:99999,NIMOWA,NG,,,-11.3,153.267,3
110550:99999,SCHAERDING (AUTO),OS,,,48.467,13.433,315
561520:99999,SERTAR,CI,,,32.283,100.333,3896
354300:99999,TALDYK,RA,,,49.25,59.55,260
489555:99999,PAKSE (BACK-UP),LA,,,15.133,105.783,102
371890:99999,SUKHUMI (POINT),RS,,,43.017,41.017,37
515810:99999,SHANSHAN/PIQAN,CI,,,42.917,90.25,410
67940:99999,ROBBIA (AUT),SW,,,46.35,10.067,1078
342380:99999,ANNA,RS,,,51.483,40.417,159
432130:99999,KURNOOL,IN,,,15.8,78.067,281
428600:99999,BETUL,IN,,,21.867,77.933,652
837390:99999,VOLTA REDONDA,BZ,,,-22.483,-44.083,374
415080:99999,DIR,PK,,,35.2,71.85,1370
22710:99999,NORSJO,SN,,,64.933,19.383,310
591240:99999,NAN-JING,CI,,,24.517,117.35,0
21050:99999,ABELVATTNET,SN,,,65.533,14.983,670
380990:99999,FURMANOVO,RA,,,44.283,72.95,350
60110:99999,THORSHAVN (PORT),FA,,,62.017,-6.767,39
528560:99999,GONGHE,CI,,,36.35,100.783,2743
414670:99999,ADEN KHORMAKSAR,DY,,,12.833,45.033,3
306060:99999,ZALARI,RA,,,53.6,102.533,450
366190:99999,ZUZ-AGAC,RA,,,47.083,79.717,422
728780:99999,RED DEER AIRPORT,CN,,,52.183,-113.9,905
623450:99999,TAHRIR,EG,,,30.65,30.7,16
154740:99999,BOGUS ROMANIAN,RO,,,0,0,93
429770:99999,SANDHEADS (LGT-VSL),IN,,,20.85,88.25,10
296050:99999,TATARSK,RA,,,55.2,75.967,112
542840:99999,FUSONG,CI,,,42.333,127.283,610
287050:99999,CHELNO-VERSHINY,RA,,,54.417,51.1,152
741930:99999,COMFORT COVE,CN,,,49.267,-54.883,96
356350:99999,TEREN-KUDUK,RA,,,47.7,58.467,511
31550:99999,DRUMALBIN,UK,,,55.617,-3.75,237
13650:99999,TYNKRYSSET,NO,,,58.267,7.333,340
151160:99999,BOGUS ROMANIAN,RO,,,0,0,96
349240:99999,SLAVJANSKNAKUBANI,RS,,,45.283,38.117,9
599540:99999,LING-SHUI,CI,,,18.5,110,50
266290:99999,KAUNAS,BY,,,54.883,23.883,75
944470:99999,DIEMALS,AU,,,-29.667,119.267,434
296580:99999,ORDZHONIKIDZEVSKIY,RA,,,54.767,88.967,610
30040:99999,COLLAFIRTH HILL,UK,,,60.533,-1.383,57
267640:99999,SLAVNOYE,BY,,,54.3,29.433,193
418590:99999,RANGPUR,BW,,,25.733,89.233,34
942960:99999,LIHOU REEF AWS(AUT),AU,,,-17.117,152.017,7
948510:99999,CURRIE,AU,,,-39.933,143.867,22
949830:99999,EDDYSTONE PT(LGT-H),AU,,,-40.983,148.333,14
103810:99999,BERLIN/DAHLEM,DL,,,52.467,13.3,51
480310:99999,FALAM,BM,,,22.917,93.683,1372
112200:99999,NEUMARKT,OS,,,47.083,14.433,842
728860:99999,PRINCETON ARPT    &,CN,,,49.467,-120.517,700
718105:99999,HAVRE ST PIERRE   &,CN,,,50.25,-63.6,6
569590:99999,JINGHONG,CI,,,22.017,100.8,553
470080:99999,CHONGJIN,KR,,,41.783,129.817,43
476950:99999,TOKYO/KASHIWA,JP,,,35.85,139.967,19
958100:99999,MOUNT CRAWFORD,AU,,,-34.717,138.95,404
948090:99999,EDITHBURGH AWS(AUT),AU,,,-35.117,137.733,7
370180:99999,TUAPSE (STREAM),RS,,,44.1,39.067,41
729640:99999,WHITEHORSE AIRPORT,CN,,,60.717,-135.067,702
804320:99999,CARRIZAL,VN,,,9.417,-66.917,161
42350:99999,DYE 1 (RED RIVER),GL,,,66.633,-52.867,1439
386370:99999,OGURCINSKI ISLAND,RA,,,38.917,53.083,-26
804790:99999,PALMICHAL ESTADO,VN,,,10.3,-68.233,1000
419660:99999,RANGAMATI,BW,,,22.633,92.2,62
330380:99999,VASILYEVICHI,BY,,,52.25,29.833,140
627330:99999,HALFA EL GEDIDA,SU,,,15.317,35.6,451
406560:99999,KARBALAA,IQ,,,32.617,44.017,29
269410:99999,BARANOVICI,BY,,,53.117,26,194
72830:99999,LANGRES (AUT),FR,,,47.833,5.317,464
591590:99999,TAICHUNG,CI,,,24.2,120.65,113
265540:99999,VERHNEDVINSK,BY,,,55.817,27.95,133
30960:99999,BRIDGE OF CALLY,UK,,,56.65,-3.383,175
153370:99999,MAHUMUDIA,RO,,,45.083,29.067,173
417420:99999,LASBELLA,PK,,,26.233,66.317,88
582580:99999,MO-TOU AIR BASE,CI,,,32.267,120.5,6
224520:99999,INCY,RS,,,65.967,40.717,19
561720:99999,BARKAM,CI,,,31.9,102.233,2666
742000:99999,VICTORIA (AUTO8),CN,,,48.417,-123.317,67
832890:99999,BOM JESUS DA LAPA,BZ,,,-13.267,-43.433,440
404375:99999,KING KHALID MIL CTY,SD,,,27.9,45.533,412
123450:99999,KOLO,PL,,,52.2,18.667,117
151400:99999,STEIU,RO,,,46.533,22.45,500
66280:99999,PLAFFEIEN-OBERSCHRO,SW,,,46.75,7.267,1041
106265:99999,BAD KREUZNACH AAF &,DL,,,49.85,7.883,103
548260:99999,TAI SHAN (MTNS),CI,,,36.25,117.1,1536
942150:99999,KING EDWARD RIVER,AU,,,-15.367,126.3,386
407040:99999,AHAR,IR,,,38.433,47.067,1390
620620:99999,TOBRUK,LY,,,32.1,23.917,50
161180:99999,NOVI LIGURE (AUT),IY,,,44.767,8.783,189
945800:99999,GOLD COAST,AU,,,-27.95,153.433,0
295900:99999,NOVOCUNSKOE,RA,,,56.15,99.3,265
729430:99999,FORT ST. JOHN ARPT,CN,,,56.233,-120.733,695
11340:99999,MAJAVATN III,NO,,,65.183,13.417,339
718200:99999,BARRAGE ANGLIERS,CN,,,47.55,-79.233,266
141120:99999,POSTOJNA,LJ,,,45.767,14.2,533
727010:99999,GAGETOWN  (CAN-MIL),CN,,,45.833,-66.433,51
32460:99999,NEWCASTLE WEA CNTR,UK,,,54.983,-1.6,47
727220:99999,MANIWAKI,CN,,,46.367,-75.983,168
383380:99999,BLINKOVO,RA,,,42.233,70.117,1122
339590:99999,ALUSHTA,UR,,,44.683,34.417,5
415840:99999,MIRANSHAH,PK,,,32.983,70.117,921
296490:99999,KRAPIVINO,RA,,,55,86.8,153
789550:99999,CARIBBEAN MET.,BR,,,13.15,-59.617,113
